Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"LES HOTELS BAVEREZ";FR0007080254;ALLHB;"Euronext Growth Paris";EUR;57.00;57.00;55.00;55.00;"12/12/2023 16:51";CET;7345;403995.00;55.00;12/12/2023
"LEXIBOOK LINGUIST.";FR0000033599;ALLEX;"Euronext Growth Paris";EUR;2.705;2.705;2.67;2.67;"12/12/2023 14:59";CET;1391;3749.02;2.67;12/12/2023
LHYFE;FR0014009YQ1;LHYFE;"Euronext Paris";EUR;4.985;5.00;4.75;4.755;"12/12/2023 17:35";CET;22803;110117.12;4.755;12/12/2023
"LINEDATA SERVICES";FR0004156297;LIN;"Euronext Paris";EUR;54.40;54.60;54.00;54.00;"12/12/2023 10:47";CET;99;5386.80;54.00;12/12/2023
LISI;FR0000050353;FII;"Euronext Paris";EUR;23.15;23.25;22.90;23.20;"12/12/2023 17:35";CET;5503;127320.40;23.20;12/12/2023
"LLAMA GROUP";BE0974334667;ALLAM;"Euronext Growth Paris, Brussels";EUR;0.633;0.678;0.623;0.66;"12/12/2023 17:35";CET;28559;18478.83;0.66;12/12/2023
LLEIDA;ES0105089009;ALLLN;"Euronext Growth Paris";EUR;0.812;0.812;0.77;0.77;"12/12/2023 11:41";CET;2515;1982.15;0.77;12/12/2023
"LNA SANTE";FR0004170017;LNA;"Euronext Paris";EUR;17.56;17.60;16.92;17.56;"12/12/2023 17:28";CET;13427;231183.64;17.56;12/12/2023
"LOCASYSTEM INTL";FR0004155208;MLLOI;"Euronext Access Paris";EUR;16.80;16.80;16.80;16.80;"12/12/2023 16:30";CET;40;672.00;16.80;12/12/2023
"LOGIC INSTRUMENT";FR0000044943;ALLOG;"Euronext Growth Paris";EUR;0.534;0.534;0.526;0.528;"12/12/2023 17:35";CET;1463;778.45;0.528;12/12/2023
"LOMBARD ET MEDOT";FR0006205019;MLCAC;"Euronext Access Paris";EUR;12.60;12.60;12.60;12.60;"11/12/2023 16:30";CET;2;25.20;12.60;12/12/2023
LUCIBEL;FR0011884378;ALUCI;"Euronext Growth Paris";EUR;0.426;0.4745;0.426;0.45;"12/12/2023 17:35";CET;30784;14162.08;0.45;12/12/2023
LUMIBIRD;FR0000038242;LBIRD;"Euronext Paris";EUR;12.06;12.30;12.06;12.10;"12/12/2023 17:35";CET;1368;16653.02;12.10;12/12/2023
LVMH;FR0000121014;MC;"Euronext Paris";EUR;742.30;746.70;733.00;733.60;"12/12/2023 17:38";CET;327591;241647711.70;733.60;12/12/2023
M.R.M;FR00140085W6;MRM;"Euronext Paris";EUR;17.60;17.60;17.50;17.50;"12/12/2023 16:42";CET;1315;23112.50;17.50;12/12/2023
M2I;FR0013270626;ALMII;"Euronext Growth Paris";EUR;3.78;3.80;3.78;3.80;"12/12/2023 11:24";CET;2001;7603.78;3.80;12/12/2023
